en	lin
People often marvel at wonderful red sunsets, which are precisely what reveal to them the extreme level of pollution they live in. We only see what we want to see.	Batu ba kamuaka makasi liboso ya moyi ekotana ya mokobo motane, oyo ezo lakisa bongo ndelo ya bobebi ya mopepe nakati oyo ba zali. To monaka kaka oyo to lingo ko mona.
Thomas says he wants to look like Brad Pitt.	Thomas alobi alingi akokana na  Brad Pitt.
The law condemns false testimony.	Mobeko epekisi bosakoli ya lokuta.
Given her interest in children, I'm certain teaching is the ideal career for her.	Nako landa litomba pona bana mike, naza na ko ndima ete liyekoli ezali musala oyo esengeli na ye.
I felt a light touch on my shoulder.	Na yokaki bokangi ya pepele na lipeka.
If a police officer stops you for improperly driving in the left lane, does he also have free rein to search the contents of your phone?	Soki mbila akangi yo pona ko lekisa ko tambwisa na nzela ya loboko ya mwasi, epesi ye lilingisi pona ko lukaluka nakati ya telefoni mpe?
Diane is also your half-sister, George.	Diana azali mpe ndeko nayo ya muasi, George.
Every evening I listen to the radio.	Butu nionso nayokaka lolaka.
Brian bought a lipstick for Kate.	Brian asombaki bokembisi eteke pona Kate.
And it came to pass at midnight that the Lord struck all the firstborn in the land of Egypt, from the firstborn of Pharaoh who sat on his throne, to the firstborn of the prisoner who was in the dungeon; and all the firstborn of the livestock.	Ekomaki ete na midi ya butu, Nkolo abeti nkoloto ya mboka mobimba ya Egypito, nako banda na muana ya liboso ya Falo oyo avandi na ngwende ti na muana liboso ya mokangemi na boloko; mpe bana liboso ya etonga.
I love him madly. My hands tremble on the keyboard whenever I think of the charm he exudes. I need to get myself out of this situation, which is gradually leading me to my downfall.	Na lingi ye neti liboma. Maboko na nga ezo ko lenga likolo ya ekembe, kaka nako kanisa lisengelo oyo ezo uta epai naye. Esengeli na bima na likambo oyo ezo mema nga na libungi.
Mr. and Mrs. West are on their honeymoon.	Tata na Mama Ba West ba uti ko balana.
"""Did the letter contain anything new?"" - ""No, just old stories."""	"""Na tuni soki mokanda ezalaki na makambo ya sika na kati?"" - ""Te, kaka makambo ya kala."""
No agreement was reached.	Boyokani moko te ezuamaki.
You'll have to watch the movie when you get the chance.	Eko senga olanda film oyo mokolo oko koka.
If one has understood that the will of the people does not exist, then it is not far to recognizing that representative democracy is more democratic than direct democracy.	Soki to sosoli ete ndinga ya mo-mboka ezalaka te, yango eza mosika te pona bosimi ete demokrasi ya lilakisi eleki demokrasi ya nsemba.
Whoever you are who wish to cultivate, enliven, edify, soften, or soothe, put books everywhere.	Ata oza nani oyo alingi ko lona, ko pesa bomoyi, ko kolisa, ko lembisa, ko kitisa motema, bo tia mikanda bisika nionso.
Find a job!	Luka mosala!
When I got home, I found it strange that the door was open.	Na tango na zongi ndako, na monaki ango ya bokamwisi ete ememeli ezala yako fungwama.
I didn't realize my wallet was gone until I got home.	Na sosolaki te ete potomoni na nga elimwaki kaka tango na zongi ndako.
The doctor kept watch over the sick old man all night, pouring sip after sip of whisky into the old man's open mouth until he died.	Munganga atalaki mpaka wana mobeli butu mobimba, ako bonga masanga ya makasi muke muke na kati ya monoko polele ya mpaka tii akufi.
I spent the morning trying to figure out what to do.	Na lekisi mokolo nako luka eloko yako sala.
As for your leave request, you will still have to wait a little longer.	Pina oyo etali bosengi ya pobemi nayo, esengeli ozela lisusu muke.
Scientists have discovered new medications, so there is still hope for people in comas.	Batu ya mayele ba lomboli ba kisi ya sika, ko za kaka elikya pona ba oyo bazali na koma.
I realize I may not be the most attractive man in the world, but I still hope you'll consider going out with me.	Na moni ete naza mobali monzenga ko leka na mokili oyo ako sepelisa batu nionso, kasi nazali na elikia ete oko ndima ko zala na nga.
The Canton of Jura is located 15 km from France.	Mboka ya Jura eza na 15 km mosika ya France.
The guild leader demoted Vince to the rank of subordinate officer because he was abusing his power.	Mokonzi ya Guilde Relagua Vince aza na esika ya mokonzo ya nse po azimbaki na bokonzi.
Blue-green expresses the color of clear water; it is a bright, clear blue.	Bule ya mayi ya pondu elakisi mokobo ya mayi ya bwee; ezali bule ya ngeli ngeli mpe ya bwee.
I especially want to thank our sales team, which broke records.	Na lingi na ndenge ya nga moko na pesa matondo na ekipi ya boteki oyo ba teki ebele ko leka mikolo nionso.
There is a degree of stress in every profession.	Ko banga ezali na misala nionso.
If Thomas finds out I told you this, he'll kill me.	Soki Thomas a ko dindola ete nayebisaki yo makambo oyo, ako boma nga.
When the bell rings, the students go out to the yard to have their snack.	Ntango ngonga ebeti, bana kelasi ba bimi na kulu pona ko lia.
Tommy couldn't answer the last question.	Tommy akokaki ko yanola na lituni ya suka.
Grant refused to admit his defeat.	Grant aboyi ko ndima libomi naye.
Go get the camera.	Bokende ko luka kamela.
Let go.	Bo tika kaka.
I'm not going to let you boss me around.	Nako tika te bo kobyanga nga.
Open your mind to new knowledge.	Fongola elimo nayo na boyebani ya sika.
That makes no damn sense.	Eza na mokendo ata muke te.
My husband is a great guy.	Mobali na nga aza mutu malamu.
And I would not be standing here tonight without the unwavering support of my best friend for the last 16 years, the rock of our family, the love of my life, the nation's First Lady, Michelle Obama.	Pe na lingaki na telema awa te na pokwa ya lelo soki ezalaki ngonzi te ya moninga na nga oyo toyebani ko leka mbula 16, esukeli ya libota na nga, Mwasi ya liboso ya mboka, Michelle Obama.
I'm still waiting for someone to tell me what happened.	Nazo zela kaka ba yebisa nga oyo elekanaki.
Qatar is refusing to let Nepalese workers, hired to prepare for the football World Cup, return home to attend the funerals of their relatives killed in the recent earthquake.	Qatar eboyi ete batu ya misala ya Nepal, oyo ba bamataki na mosala pona ko bongisa coupe du monde, bazonga na mboka na bango pona ko kunda ba ndeko na bango oyo ba kufaki na bolengilengi ya mabele ya kala te.
Vampires live forever, unless they are killed.	Ba kundwi ba kufaka kaka soki ba bomi bango.
Based on the admission and the documents attached to it, the commercial court verifies whether the conditions for bankruptcy are indeed met and declares the bankruptcy open by judgment.	Likolo ya bo ndima mpe na mikanda oyo eyaki na ngo, esambiselo ya monbongo ako tala soki lisengi ya bokwei ezali ya solo, sima ako sangela bokwei oyo efunguami na bosambi.
Yes! I will kill her! You'll see, I will kill her!	ee! Nako boma ye ! Oko mona, nako boma ye !
I spent the whole afternoon looking for my keys.	Na lekisi nsima ya midi mobimba nako luka fungulo na nga.
According to research conducted by Gunnar Samuelsson, Jesus may not have died on a cross. It is possible that he instead died on a post or a tree trunk.	Engebenena ya boluki oyo esalemi na Gunna Samuelsson, eza neti Yesu akufaki na ekukusu te. Ekoki ko zala ete akufaki nde likolo ya likonzi to nzete.
Among a living language, spoken in total by hundreds of thousands of people around the world...	Kati ya monoko oyo ezo lobama na monkama ya nkoto ya batu na mokili.
Put on your rubber boots, or else your feet will get wet!	Ti sapato nayo ya ndembo, pamba te oko kozala na makolo ya ko pola.
It's OK, it's in, it's cool.	Malamu, eza malamu.
She's got a pretty good figure.	Aza na likambo ya mabe.
I personally consider the death of an artist like Lou Reed tragic.	Nazo mona liwa ya moi ntoki nete Lou Reed ya mawa.
Waiting a long time for a friend annoys me.	Ko zela moninga tango molayi epesaka kanda.
Sometimes Spencer is so attached to Trang that it leads her to think he's overprotective.	Tango mususu Spencer aza yako kangama makasi na Trang tino ememi ye akanisa ete kimobateli naye eleki.
My cousin Teddy studied in French at university and studied in Paris for a year.	Ndeko nanga Teddy atangaki na kifalansa na kelasi pe a tangaki na Paris mbula moko.
Robert's dogs are trained to pull a sled in extreme conditions.	Ba mbua ya Robert ba tangi ko benda mituka mike na bisika ya makasi ko leka.
What I had been inclined to regard as a lofty phrase turned out to be a bitter reality, against which people had tried to warn me!	Oyo nalingaki ko mona neti lisakola ya munene eyaki ko bima bozali ya bololo, oyo bolingaki ko kebisa nga.
Daniel looks like a Uyghur.	Daniel akokani na Ouïgour.
« Hello, I'm looking for a formal suit. » « May I ask for what occasion? »	« Mbote, nazo luna elamba ya nkuta. » « Nakoki ko tuna yo ezalaki na eposa nini ? »
The boundary of the solar bubble is the heliopause, roughly fifty astronomical units from the Sun, where the pressure of the solar wind is reduced to the tiny pressure between the stars, in our arm of the galaxy.	Mopaka ya moyi ebangami heliopause, na pembeni ya nkutu itanu ya ndambo yako tanga ya Moyi, esika kilo ya mipepe ya moyi eza yako kita na esika ya minzoto, nakati ya minzoto na biso.
I'm not sure I'm ready for that.	Na banzi te nakomi nyongo pona yango.
One of the hunters was hit by a bullet and had to be taken to the hospital, where he is now recovering quickly.	Moko yaba mokula ezuamaki na lisasi moko mpe ba memi ye na lopitalo esika azo bika mbangu.
Turkey's current situation shows, above all, a deep division in society.	Ndenge yako zala ya Turquie elakisi bokaboli ya mozindo ya lingomba.
Are you sure you don't want me to take you to the hospital?	Ya solo olingi te na mema yo na lopitali ?
I'm sorry to bother you, but there's a phone call for you.	Limbisa mutungisi na nga, kasi kozali mutu azo ko benga yo na singa.
Alcoholic beverages are associated with an increased risk of cancers of the mouth, pharynx, larynx, esophagus, colon-rectum, breast, and liver. The risk increases with the dose.	Masanga makasi ezo tambola elongo na malali ya kansele ya monoko, lilekisi, nzela ya mongongo, zelu, libele pe na libale. Bokebi ya likama ezali kobakisama na kobakisa epimelo.
As global warming intensifies due to climate change, conflicts could then intensify as well.	Lolenge mokili ezali kokoma molunge makasi na tina ya mbongwana ya nzebi, mobulungano, mpe lokola, ekoki koya makasi.
You're strange, I haven't helped you at all yet and you're already calling me a genius.	Ozali na lolenge ya kokamwisa, nayino na sungi yo te kasi ozali kobenga ngayi moto ya bwana mingi.
True love does not hurt on purpose. True love always asks for forgiveness. True love always forgives.	Bolingo ya solo ezokisaka na nko te. Bolingo ya solosolo esengaka tango nyonso bolimbisi. Bolingo ya solo elimbisaka tango nyonso.
Have you decided what you're going to give Nathan for his birthday?	Osoyebi eloko oko bonzela Nathan mpona eyenga ya mbotama naye?
He has no interest in any sport that involves teamwork or quick responses to other players.	Azangi litomba na masano oyo esengaka mosala ya litonga to biyano ya lombango epayi ua banika babeti.
I'm very relaxed.	Nazali kimya penza.
My grandma's nurse is very kind.	Monganga ya koko nangayi azali na boboto mingi.
Oh you, peoples of the world! You surely know that My commandments are the lamps of My loving providence among My servants.	Oh bino, bato ya mokili! Boyebi ete, mitindo na ngayi ezali mwinda ya molingami na ngayi kati ya basali na ngayi.
Electricity has made candles of little use in our lives.	Lotiliki ekomisi minda ya mafuta tina te na bomoyi na biso.
Can I ask you a question that you're not obligated to answer?	Nakoki kotuna motuna moko oyo okoki kopesa eyano to te?
Mark Zuckerberg stole my idea!	Mark Zubeckerberg ayibi makanisi ma ngayi!
"The question arises: ''Is the internet also a mass communication medium?''"	Motuna etunamaki: ''Internet azali mpe nzela ya kosolola mpona bato ebele?''
He's weird and I don't like weird people.	Ezali lolenge mabe, na lingaka bato ya motindo oyo te.
You disgusting pig!	Tala ye kuna lokola ngulu ya bosoto!
"Is it possible to make 70 copies of your report published in ''Le Réseau'' of November and distribute them to our agents?"	Ekoki kosalema ete obimisa ndakisa tuku sambo ya maloba oyo opanzaki na ''Le Réseau'' ya sanza ya zomi na moko mpe okabola yango epayi ya basali na biso?
Who is your favorite TV star?	Nani nde olingaka mingi na television?
The children of Adam are members of a single body, and all come from the same essence.	Bana ya Adama bazali binama ya nzoto bobele moko, mpe bawuti na mosisa moko.
Stop the thief! He ran off with my handbag!	Kanga moyibi! Akimi na sac à main na ngayi!
Open your bag please, so I can see what's inside.	Fongola sac na yo nasengi yo, namona nini ezali na kati.
